2313	125	✓
1113	124	✓
1808	123	✓
2320	122	✓
2123	121	✓
1704	120	✓
19	119	✓
101	118	✓
1651	117	✓
2303	116	✓
2003	115	✓
2118	114	✓
1130	113	✓
697	112	✓
1509	111	✓
2013	110	✓
1265	109	✓
1842	108	✓
1848	107	✓
1876	106	✓
4074	105	✓
28	104	✓
1762	103	✓
4451	102	✓
863	101	✓
1316	100	✓
1075	099	✓
1749	098	✓
1093	097	✓
1607	096	✓
4015	095	✓
1817	094	✓
4252	093	✓
677	092	✓
1019	091	✓
4249	090	✓
4437	089	✓
1852	088	✓
1698	087	✓
1511	086	✓
1835	085	✓
960	084	✓
2261	083	✓
68	082	✓
2269	081	✓
4324	080	✓
1405	079	✓
889	078	✓
1668	077	✓
4067	076	✓
981	075	✓
4008	074	✓
769	073	✓
1154	072	✓
4156	071	✓
1390	070	✓
1440	069	✓
1406	068	✓
187	067	✓
2083	066	✓
718	065	✓
1145	064	✓
1072	063	✓
1761	062	✓
473	061	✓
828	060	✓
4246	059	✓
2072	058	✓
994	057	✓
2065	056	✓
4213	055	✓
2158	054	✓
4154	053	✓
1257	052	✓
4063	051	✓
1479	050	✓
4081	049	✓
909	048	✓
165	047	✓
1402	046	✓
88	045	✓
1614	044	✓
594	043	✓
544	042	✓
1592	041	✓
1513	040	✓
1125	039	✓
2096	038	✓
723	037	✓
766	036	✓
949	035	✓
4206	034	✓
1736	033	✓
836	032	✓
1491	031	✓
693	030	✓
4085	029	✓
1735	028	✓
1854	027	✓
1283	026	✓
764	025	✓
4222	024	✓
1836	023	✓
2124	022	✓
1628	021	✓
106	020	✓
1508	019	✓
2166	018	✓
2042	017	✓
1766	016	✓
4241	015	✓
1809	014	✓
1810	013	✓
181	012	✓
547	011	✓
1729	010	✓
1536	009	✓
332	008	✓
225	007	✓
1889	006	✓
92	005	✓
309	004	✓
1224	003	✓
616	002	✓
117	001	✓
